Product Name,Brand Name,Price,Rating,Reviews,Review Votes
Samsung Galaxy J7 J700M 16GB Dual Sim LTE Unlocked Phone - Retail Packaging - White (International Version),Samsung,227.14,5,"Purchased this because I liked my old Galaxy S3 and just did not want to spend the money for the newer Galaxy S line. It is a good phone, great battery life from my perspective, and charges fast. I just popped in my sim card from my S3 phone (AT&T carrier). There was a wizard-type setup that led me through configuring it, and it offered the opportunity to re-install my old apps. You definitely want to take the option to edit on this one and deselect any old stuff that you don't use anymore (or that was bloatware installed by your carrier). If you want lots of detail about this phone, look for a reviewer named Daisy. Daisy provided great information and that is what gave me the confidence to take the plunge to buy this phone. I've had my phone for a little over a month and there are no problems. (The only thing that was a little tricky to get going again was my visual voicemail, but that was resolved by resetting my password and setting it up from scratch.) Based on my experience with this phone, we will go with the J line for future phone replacements in my family. Tip: You can see some variant of the J7 if you go to a T.mobile store. I did that because I wanted to experience the size/weight in hand before I purchased. BTW, when you are looking for accessories, you need to know whether this phone is a ""2015"" or a ""2016"". It's a 2015, based on the processor (Octa Core 1.5GHz) identified on the plastic screen overlay it shipped with.",0
LG Google Nexus 5X H791 16GB 4G LTE 5.2-Inch Factory Unlocked (QUARTZ WHITE) - International Stock No Warranty,LG,289,1,The device came with a note device is corrupted I looked it up on Google and this apparently happens when someone tampers with the operating system.,2
BLU Life 8 XL Smartphone - Unlocked - Global GSM - Orange,BLU,149.83,4,"Just received my pre-ordered phone (and on a Sunday!?). Loaded it up. Seems to work great. I really don't like the screen protector -- for the first hour or so I thought the touch-screen was not working properly; simple fix, just remove the protector.Excellent value.",8
Nokia C1-01 Unlocked GSM Phone--US Version with Warranty (Dark Grey),Nokia,269.1,3,"This is the second time I have purchased this phone. The first time was for use in Africa but I found out that it was not opened for use in that part of the world which was a disappointment. This time I needed it for use with my simple mobile. It works well but unfortunately I cannot access the internet which is a negative. Overall, I like the phone and it serves it purpose. It is simple, the volume is excellent and I can also store my music on a microchip which does not come with the phone, but which I bought separately. Hope this helps.",0
Apple iPhone 6s 16 GB US Domestic Warranty Unlocked Cellphone - Retail Packaging (Space Gray),Apple,524.99,2,Home button has a crack in it and the Touch ID does not work. Phone also freezes at random times.,0
"Samsung Galaxy G920F-S6 32GB Factory Unlocked 5.1"" - International Sourced Version - Black",Samsung,434.99,2,"I just got the phone a month ago or so, and the return key started to self press. I can't open any app because it closes. Please, any suggestions would help!!",0
OtterBox Defender Case w/ Holster for iPhone 5 (Only) - Retail Packaging - AP Blazed (Orange Camo),,28.87,4,It is good but sometimes it is very hard to get it seated in the belt case.,1
BLU Life XL - LTE Smartphone - GSM Unlocked - 8GB +1GB RAM - White,BLU,116.99,4,"The phone is really great. Only got two complaints. It is definitely not gold, it's silver. And the front facing camera is better than the rear and really records pretty dark. Good outside video camera, not so much inside. Everything else, is Great. I love it and I'm definitely glad I picked it.",1
RB LG VX8500 Chocolate Camera Bluetooth phone 4 Verizon,LG,16,1,Dont waste your time & money ordering a used phone. Paid $53.00 total w/shipping & it didnt even last a month. The phone just fell apart.,7
HTC One VX Unlocked GSM 4G LTE Android Smartphone - Gray/Red,HTC,229.99,5,100% RECOMENDADO,0
Samsung Galaxy Note 3 (SM-N900V) - 32GB Verizon + GSM Smartphone - White (Certified Refurbished),Samsung,219.99,4,Was sending it to my country in Africa. .but works well so far.......,0
BLU Energy X 2 - With 4000 mAh Super Battery - US GSM Unlocked Smartphone - Gold,BLU,99.99,5,Very good phone. So far have now issues with it. Currently using it with 2 sim cards.,0
CNPGD [U.S. Office Extended Warranty] Smartwatch Watch Cell Phone Water Resistant NFC Heart Rate Monitor Dual OS Available for Android and IOS Gold,CNPGD,59.99,5,"This is a great band. I've had it a few days and my friend has a fitbit charge and she couldn't believe that mine worked just as well as her. I used the Dayday band app as suggested. I have an iphone 6plus and it works great. Sync automatically over bluetooth. Keep very accurate track, I tested it a few times with my friends fitbit charge. Also, the alerts, calls & mms notifications are definitely a plus because I don't carry my phone all the time. I would like to order more colors.",0
OtterBox 'Defender Series' Protective Case for Samsung Galaxy S5 + Belt-Clip - Foggy Glow (Retail Packaging),OtterBox,16.9,5,Amazing product! Saved my phone from falls and being slammed with my trunk lid.,0
Samsung Convoy 2 SCH-U660 Military Standard Rugged 3G Cell Phone Verizon Wireless,Samsung,99.99,5,Works like a new one and very affordable!,0
"BLU Life One Unlocked Dual Sim Phone L120, 16 GB, White",BLU,120,5,She loves it.,1
BLU Diva Flex 2.4 - Flip phone - unlocked Dual Sim - Silver,BLU,19.99,4,works great for my dad. good phone.,0
